Wall time,Step,Value
1693313608.9551604,0,0.010199258103966713
1693313631.639531,1,0.03407596796751022
1693313653.350688,2,0.047651976346969604
1693313675.586492,3,0.08346831053495407
1693313697.546582,4,0.09382264316082001
1693313718.3332849,5,0.10346528142690659
1693313739.3522427,6,0.13054820895195007
1693313761.3204815,7,0.16214874386787415
1693313782.3272624,8,0.18607504665851593
1693313804.0457969,9,0.1796325296163559
1693313824.9301722,10,0.2047043740749359
1693313845.7742715,11,0.18936161696910858
1693313867.5497541,12,0.21179595589637756
1693313888.5437913,13,0.20630958676338196
1693313910.085942,14,0.2132241576910019
1693313931.5734327,15,0.20998507738113403
1693313952.4426045,16,0.23614615201950073
1693313974.0722332,17,0.2243048995733261
1693313994.7007854,18,0.22022755444049835
1693314015.8823552,19,0.23427341878414154
1693314036.9196475,20,0.22606033086776733
1693314058.4510171,21,0.23422564566135406
1693314080.3325214,22,0.24023915827274323
1693314098.6957238,23,0.23415978252887726
1693314118.9163718,24,0.23634572327136993
1693314143.2098668,25,0.22903218865394592
1693314170.8740032,26,0.22471986711025238
1693314197.7491498,27,0.22975093126296997
1693314225.5416808,28,0.22265483438968658
1693314251.3851547,29,0.2255011647939682
1693314273.4401166,30,0.22456245124340057
1693314296.53639,31,0.23461928963661194
1693314315.2921157,32,0.2326934039592743
1693314341.952555,33,0.23203636705875397
1693314360.7184381,34,0.22849369049072266
1693314377.0346053,35,0.23343008756637573
1693314400.2017732,36,0.23968012630939484
1693314426.0669324,37,0.24688862264156342
1693314451.1328354,38,0.23777517676353455
1693314466.2011979,39,0.2398563176393509
1693314484.3244042,40,0.2352982759475708
1693314509.2798202,41,0.23180803656578064
1693314536.623459,42,0.2373238056898117
1693314558.1021369,43,0.23967012763023376
1693314578.6167002,44,0.24256931245326996
1693314598.133344,45,0.24274210631847382
1693314617.9059372,46,0.24997487664222717
1693314638.3483803,47,0.2494303435087204
1693314658.7554705,48,0.24659934639930725
1693314679.4517348,49,0.246556356549263
