Wall time,Step,Value
1693313608.9551604,0,0.04382248967885971
1693313631.639531,1,0.12427645921707153
1693313653.350688,2,0.15275634825229645
1693313675.586492,3,0.262213796377182
1693313697.546582,4,0.2927073836326599
1693313718.3332849,5,0.29033011198043823
1693313739.3522427,6,0.392039954662323
1693313761.3204815,7,0.4027945399284363
1693313782.3272624,8,0.48257216811180115
1693313804.0457969,9,0.4569610059261322
1693313824.9301722,10,0.5157938003540039
1693313845.7742715,11,0.4858285188674927
1693313867.5497541,12,0.5379073023796082
1693313888.5437913,13,0.493854284286499
1693313910.085942,14,0.5310490727424622
1693313931.5734327,15,0.5051890015602112
1693313952.4426045,16,0.5723332762718201
1693313974.0722332,17,0.5499940514564514
1693313994.7007854,18,0.531911313533783
1693314015.8823552,19,0.5673458576202393
1693314036.9196475,20,0.509621262550354
1693314058.4510171,21,0.543207049369812
1693314080.3325214,22,0.5614629983901978
1693314098.6957238,23,0.5521625876426697
1693314118.9153745,24,0.553308367729187
1693314143.2098668,25,0.5421904921531677
1693314170.8740032,26,0.5351443290710449
1693314197.7491498,27,0.5512980222702026
1693314225.5416808,28,0.5345973372459412
1693314251.3851547,29,0.5331354141235352
1693314273.4401166,30,0.5401864647865295
1693314296.53639,31,0.5594642162322998
1693314315.2911189,32,0.5454209446907043
1693314341.952555,33,0.5482985973358154
1693314360.7184381,34,0.547568142414093
1693314377.0346053,35,0.5427058935165405
1693314400.2017732,36,0.5484930872917175
1693314426.0669324,37,0.5548548102378845
1693314451.1328354,38,0.5488914847373962
1693314466.2011979,39,0.5608276724815369
1693314484.3244042,40,0.5510076880455017
1693314509.2798202,41,0.540129542350769
1693314536.623459,42,0.547360897064209
1693314558.1021369,43,0.5553131103515625
1693314578.6167002,44,0.5482471585273743
1693314598.133344,45,0.5536039471626282
1693314617.9059372,46,0.5491542816162109
1693314638.3483803,47,0.5557453632354736
1693314658.7554705,48,0.554128110408783
1693314679.4517348,49,0.5527870059013367
