Wall time,Step,Value
1693313608.9551604,0,0.13335378468036652
1693313631.639531,1,0.1665344387292862
1693313653.350688,2,0.22043590247631073
1693313675.586492,3,0.3111657202243805
1693313697.546582,4,0.32380351424217224
1693313718.3322875,5,0.33981063961982727
1693313739.3522427,6,0.4219744801521301
1693313761.3204815,7,0.42762041091918945
1693313782.3272624,8,0.5145235061645508
1693313804.0457969,9,0.5482881665229797
1693313824.9301722,10,0.5703766345977783
1693313845.7742715,11,0.51784747838974
1693313867.5497541,12,0.6274756789207458
1693313888.5428042,13,0.5942941308021545
1693313910.085942,14,0.5886989831924438
1693313931.5734327,15,0.5833338499069214
1693313952.4426045,16,0.6667636036872864
1693313974.0722332,17,0.6033769845962524
1693313994.7007854,18,0.6036046743392944
1693314015.8823552,19,0.6471313238143921
1693314036.9196475,20,0.5808877944946289
1693314058.4510171,21,0.636239767074585
1693314080.3325214,22,0.6503826975822449
1693314098.6957238,23,0.650180459022522
1693314118.9153745,24,0.659828245639801
1693314143.2088697,25,0.6593281626701355
1693314170.8740032,26,0.6191546320915222
1693314197.7491498,27,0.6599583625793457
1693314225.5416808,28,0.6278268694877625
1693314251.3851547,29,0.6086708903312683
1693314273.4401166,30,0.6533851623535156
1693314296.53639,31,0.65522301197052
1693314315.2911189,32,0.6349208354949951
1693314341.952555,33,0.6556820273399353
1693314360.7184381,34,0.6556609869003296
1693314377.0346053,35,0.6010700464248657
1693314400.2017732,36,0.6689615249633789
1693314426.0669324,37,0.6902984976768494
1693314451.1328354,38,0.6547897458076477
1693314466.2011979,39,0.6650833487510681
1693314484.3244042,40,0.6614820957183838
1693314509.2798202,41,0.6849815845489502
1693314536.623459,42,0.6610071063041687
1693314558.1011403,43,0.6810826659202576
1693314578.6167002,44,0.6592043042182922
1693314598.133344,45,0.6525841951370239
1693314617.9059372,46,0.6477831602096558
1693314638.3483803,47,0.6661761999130249
1693314658.7554705,48,0.6827158331871033
1693314679.4507384,49,0.6851741075515747
